data;FOCUS;FGV
jan/02;4,7632;
fev/02;4,6605;
mar/02;4,7565;
abr/02;4,7641;
mai/02;4,401;
jun/02;4,435;
jul/02;4,7643;
ago/02;5,0277;
set/02;5,7314;
out/02;7,4596;
nov/02;10,514;
dez/02;11,8433;
jan/03;11,625;
fev/03;10,673;
mar/03;9,9474;
abr/03;9,1825;
mai/03;8,3752;
jun/03;7,843;
jul/03;6,9865;
ago/03;6,5686;
set/03;6,3745;
out/03;6,2055;
nov/03;5,988;
dez/03;5,858;
jan/04;5,8595;
fev/04;5,7022;
mar/04;5,4639;
abr/04;5,515;
mai/04;5,6838;
jun/04;6,0843;
jul/04;6,2105;
ago/04;6,2018;
set/04;6,1971;
out/04;6,198;
nov/04;6,1711;
dez/04;6,0195;
jan/05;5,7557;
fev/05;5,6044;
mar/05;5,5091;
abr/05;5,5615;
mai/05;5,43;
jun/05;5,1082;
jul/05;5,0257;
ago/05;4,9365;
set/05;4,7862;8,0
out/05;4,685;7,9
nov/05;4,576;7,8
dez/05;4,4914;7,8
jan/06;4,5632;7,2
fev/06;4,4572;7,4
mar/06;4,3074;7,3
abr/06;4,1467;6,8
mai/06;4,1273;7,0
jun/06;4,2129;6,9
jul/06;4,38;7,0
ago/06;4,5117;6,9
set/06;4,2445;6,3
out/06;4,02;5,8
nov/06;4,0975;5,6
dez/06;4,0935;5,6
jan/07;3,985;5,6
fev/07;3,8622;5,1
mar/07;3,7436;5,4
abr/07;3,611;5,4
mai/07;3,4409;5,3
jun/07;3,4635;5,1
jul/07;3,5273;4,8
ago/07;3,6557;5,0
set/07;3,7532;5,3
out/07;3,7723;5,3
nov/07;3,825;6,4
dez/07;4,1335;5,5
jan/08;4,2932;5,9
fev/08;4,2642;5,7
mar/08;4,3205;6,0
abr/08;4,41;6,1
mai/08;4,642;6,3
jun/08;5,05;7,2
jul/08;5,3609;7,5
ago/08;5,2476;7,8
set/08;5,1364;6,8
out/08;5,1909;7,4
nov/08;5,3925;7,2
dez/08;5,1509;7,3
jan/09;4,8757;6,6
fev/09;4,6767;7,1
mar/09;4,3036;7,0
abr/09;4,1705;7,2
mai/09;4,0605;6,5
jun/09;4,0438;6,4
jul/09;4,0978;6,4
ago/09;4,049;6,4
set/09;4,1443;6,8
out/09;4,2967;6,3
nov/09;4,3605;6,1
dez/09;4,4145;6,4
jan/10;4,53;6,5
fev/10;4,5311;6,6
mar/10;4,5574;6,5
abr/10;4,7005;5,9
mai/10;4,8124;6,2
jun/10;4,7995;6,3
jul/10;4,9691;6,2
ago/10;5,0745;6,3
set/10;5,1714;6,2
out/10;5,243;6,2
nov/10;5,272;6,2
dez/10;5,383;6,5
jan/11;5,451;6,5
fev/11;5,459;6,9
mar/11;5,3914;7,0
abr/11;5,3853;6,7
mai/11;5,1732;7,2
jun/11;5,1124;7,1
jul/11;5,3357;6,7
ago/11;5,4487;6,8
set/11;5,6457;6,8
out/11;5,6145;7,4
nov/11;5,5615;7,0
dez/11;5,385;6,8
jan/12;5,3118;6,7
fev/12;5,3142;6,6
mar/12;5,44;6,4
abr/12;5,5115;6,6
mai/12;5,5414;6,3
jun/12;5,487;6,7
jul/12;5,5227;6,5
ago/12;5,5822;6,6
set/12;5,6011;6,5
out/12;5,4591;6,4
nov/12;5,363;6,5
dez/12;5,481;6,5
jan/13;5,5541;6,5
fev/13;5,5539;6,8
mar/13;5,577;6,9
abr/13;5,5455;7,0
mai/13;5,6257;6,9
jun/13;5,689;7,1
jul/13;5,7704;7,4
ago/13;6,0027;6,9
set/13;6,1543;7,4
out/13;6,2152;7,3
nov/13;6,129;7,4
dez/13;6,04;7,4
jan/14;5,9886;7,0
fev/14;6,088;7,4
mar/14;6,2126;7,4
abr/14;6,1115;7,5
mai/14;5,9914;7,5
jun/14;5,996;7,6
jul/14;6,0261;7,5
ago/14;6,199;7,5
set/14;6,2891;7,5
out/14;6,3774;7,6
nov/14;6,494;8,0
dez/14;6,6355;7,9
jan/15;6,6362;7,6
fev/15;6,5378;8,1
mar/15;6,4932;8,4
abr/15;6,0745;8,7
mai/15;6,0045;8,8
jun/15;6,0595;8,9
jul/15;5,8222;9,4
ago/15;5,6614;10,1
set/15;5,8619;10,0
out/15;6,3524;10,2
nov/15;6,7805;10,6
dez/15;6,9573;11,0
jan/16;6,892;11,1
fev/16;6,8526;11,1
mar/16;6,6336;11,0
abr/16;6,3475;10,7
mai/16;6,0567;10,4
jun/16;5,9277;10,4
jul/16;5,741;9,9
ago/16;5,4048;9,9
set/16;5,2133;9,8
out/16;5,0495;9,1
nov/16;4,9385;9,2
dez/16;4,8386;9,1
jan/17;4,8027;8,0
fev/17;4,6578;7,7
mar/17;4,5635;7,6
abr/17;4,5667;7,6
mai/17;4,6227;7,3
jun/17;4,4267;7,2
jul/17;4,4205;6,7
ago/17;4,4122;6,6
set/17;4,072;6,7
out/17;4,0514;6,3
nov/17;4,0425;6,2
dez/17;3,926;5,9
