;1 passo;3 passos;6 passos;12 passos;;;;;;;;;;;;;;;;;;;;
jan/16;0,85;;;;;;;;;;;;;;;;;;;; ; ; ; 
fev/16;0,86;;;;;;;;;;;;;;;;;; ; ; ; ; ;
mar/16;0,56;;;;;;;;;;;;;;;;;;; ; ; ; ;
abr/16;0,6;;;;;;;;;;;;;;;;;;;;;;;
mai/16;0,49; ;;;;;;;;;;;;;;;;;;;;;;
jun/16;0,32;;;;;;;;;;;;;;;;;;;;;;;
jul/16;0,37;;;;;;;;;;;;;;;;;;;;;;;
ago/16;0,3;;;; ;;;;;;;;;;;;;;;;;;;
set/16;0,36;;;; ; ;;;;;;;;;;;;;;;;;;
out/16;0,39;;;; ; ; ;;;;;;;;;;;;;;;;;
nov/16;0,4;;;; ; ; ; ;;;;;;;;;;;;;;;;
dez/16;0,55;;;; ; ; ; ; ;;;;;;;;;;;;;;;
jan/17;0,58;;;; ; ; ; ; ; ;;;;;;;;;;;;;;
fev/17;0,58;;;; ; ; ; ; ; ; ;;;;;;;;;;;;;
mar/17;0,3;;;; ; ; ; ; ; ; ; ;;;;;;;;;;;;
abr/17;0,36;;;;;;;;;;; ; ;;;;;;;;;;;
mai/17;0,49;;;;;;;;;;; ; ; ;;;;;;;;;;
jun/17;0,15; ;;;;;;;;;; ; ; ;;;;;;;;;;
jul/17;0,18; ; ;;;;;;;;; ; ; ;;;;;;;;;;
ago/17;0,37; ; ; ;;;;;;;; ; ; ;;;;;;;;;;
set/17;0,29; ; ; ; ;;;;;;; ; ; ;;;;;;;;;;
out/17;0,36; ; ; ; ; ;;;;;; ; ; ;;;;;;;;;;
nov/17;0,39; ; ; ; ; ; ;;;;; ; ; ;;;;;;;;;;
dez/17;0,4; ; ; ; ; ; ; ;;;; ; ; ;;;;;;;;;;
