Código da estrutura;Descrição;jan/99;fev/99;mar/99;abr/99;mai/99;jun/99;jul/99;ago/99;set/99;out/99;nov/99;dez/99;jan/00;fev/00;mar/00;abr/00;mai/00;jun/00;jul/00;ago/00;set/00;out/00;nov/00;dez/00;jan/01;fev/01;mar/01;abr/01;mai/01;jun/01;jul/01;ago/01;set/01;out/01;nov/01;dez/01;jan/02;fev/02;mar/02;abr/02;mai/02;jun/02;jul/02;ago/02;set/02;out/02;nov/02;dez/02;jan/03;fev/03;mar/03;abr/03;mai/03;jun/03;jul/03;ago/03;set/03;out/03;nov/03;dez/03
0;IPC - TODOS OS ITENS;0,64;1,41;0,95;0,52;0,08;0,65;1,2;0,48;0,19;0,92;1,12;0,6;1,01;0,05;0,51;0,25;0,4;-0,01;1,91;0,86;0,04;0,02;0,4;0,62;0,64;0,4;0,56;0,86;0,41;0,52;1,36;0,54;0,12;0,71;0,85;0,7;0,79;0,14;0,42;0,71;0,28;0,55;1,03;0,76;0,66;1,14;3,14;1,94;2,32;1,37;1,06;1,12;0,69;-0,16;0,34;0,13;0,76;0,21;0,33;0,43
110101;ARROZ;-0,74;2,06;0,56;-4,58;-5,13;-3,96;-3,81;-1,5;-2,11;0,89;3,36;1,7;-0,54;-1,72;-1,2;-1,99;-1,05;-0,93;0,63;-0,1;0,06;-0,15;-2,69;1,24;5,1;5,2;0,71;-1,37;0,32;3,28;5,11;1,43;2,33;8,71;4,77;0,94;-0,19;-1,91;-3,59;-3,48;-1,15;2,29;3,11;1,74;4,31;7,32;14,31;7,13;2,57;-0,76;-0,92;-0,55;11,23;7,84;0,36;0,16;1,51;-0,34;-0,04;2,92
110103;ARROZ PARBOILIZADO;-2,03;1,69;-0,14;-3,04;-6,27;-4,14;-2,57;-1,77;-0,35;0,56;2,74;1,29;0,38;-0,56;0,08;-2,75;-1,31;-1,74;0,2;-0,87;-0,16;-1,3;0,61;0,38;4,31;3,54;1,72;-1,33;-0,8;3,34;3,42;0,93;2,53;9,1;7,27;0,86;-0,05;-1,26;-2,37;-2,82;-1,83;1,59;1,15;2,17;3,73;6,2;12,63;9,75;1,83;0,85;-0,29;-0,92;10,95;7,43;0,16;1;0,17;-1,04;-0,66;1,78
110107;FEIJÃO-CARIOCA;7,53;-9,13;-5,79;-10,81;-11,88;-7,95;-7,92;-4,11;37,32;5,24;-2,73;-1,67;-3,73;-14,77;-8,42;-3,71;8,06;1,08;0,54;17,58;5,41;2,53;-3,99;0,07;0,24;2,28;3,46;6,51;-1,8;0,5;-1,83;3,86;-1,4;-1,26;-2,22;-1,58;1,68;-0,4;-0,54;2,48;0,16;2,35;12,74;6,19;-2,85;-0,96;0,98;12,58;11,42;6,8;1,96;7,64;-0,41;-7,34;-10,24;-9,38;-3,86;-5,49;-3,5;-1,45
110111;FEIJÃO-PRETO ;-3,86;-2,43;-6,89;-8,77;-4,89;-7,07;-7,38;-3,05;8,15;7,63;1,07;-5,03;-6,57;-4,76;-4,56;-2,08;-1,17;2,1;-1,57;0,96;1,6;-0,65;-2,83;-1,58;3,83;13,61;6,16;5,04;7,6;19,47;12,23;9,06;13,37;5,41;2,51;-3,36;-4,66;-10,19;0,46;-2,98;-5,71;-3,15;6,02;5,82;0,37;2,09;3,38;0,95;0,29;-3,62;0,36;3,88;2,13;-0,64;-5,32;-0,91;-0,94;-2,97;-2,67;-1
110113;FEIJÃO DE OUTROS TIPOS;1,88;3,57;8,47;3,77;4,76;-1,66;-0,56;0,21;2,3;-0,33;2,92;5,9;1,41;-0,74;0,35;-0,25;2,35;-1,01;0,56;1,98;1,01;0,09;0,03;-1,66;1,2;2,94;2,48;4,3;-0,61;1,88;1,57;1,22;1,51;2,42;3,08;1,19;0,89;0,34;-0,16;0,47;-0,03;-0,09;-0,42;3,04;0,03;0,58;2,86;2,57;3,4;2,1;0,35;2,32;1,26;-0,41;-2;-0,72;-0,92;-1,63;-1,62;1,6
110301;ABÓBORA ;-4,38;-9,65;-0,05;6,88;-0,44;-5,42;-1,4;0,24;5,99;-4,82;-0,45;5,26;5,88;5,21;2,09;-1,95;-5,73;-4,68;-2,25;2,82;3,95;0,81;-1,23;3,14;-1,71;-4,29;-2,32;4,05;-1,24;-1,06;-0,7;2,7;-6,77;0,22;-0,42;2,46;-1,04;5,66;-1,29;8,2;2,08;0,07;-0,73;-1,31;2,19;-0,38;4,95;10,63;7,32;5,21;-1,5;2,38;-2,95;-7,66;-9,14;1,15;-1,56;-8,81;2,63;1,5
110303;ABOBRINHA ;19,13;7,43;0,84;1,96;3,63;-2,48;0,35;2,42;-3,14;-10,37;-9,44;2;7,95;12,36;3,47;-5,33;-5,49;11,14;17,02;24,02;-11,03;-32,86;-6,34;12,97;9;1,61;11,43;1,55;-4,15;-3,69;-2,5;-6,26;-2,53;2,53;-9,16;-1,7;17,08;11,67;0,28;-11,77;3,77;6,7;-2,33;1,34;7,8;-7,41;-5,12;7,9;2,51;23,35;5,71;-9,98;-4,67;-8,15;2,57;-2,18;8,32;-5,1;-11,04;2,04
110307;AGRIÃO ;8,4;15,58;-1,03;-6,73;0,72;-4,9;-0,26;0,09;-1,94;-1,22;-0,02;1,84;5,97;11,79;-1,26;-5,67;-3,35;-0,89;3,28;9,27;-8,23;-8,25;2,16;3,02;8,1;3,4;6,84;2,29;-4,33;-3,55;-5,76;-6,83;0,48;1,19;-0,43;6,44;6,32;7,35;-0,09;-0,96;-2,06;-1,91;-1,67;-3,87;-1,31;-0,25;4,91;3,52;9,07;12,25;3,19;-4,64;-4,15;-4,1;-7,99;-6,85;2,72;2,94;-0,26;-5,13
110309;AIPIM / MANDIOCA ;;;;;;;;;;;;;;;;;;;;;;;;;0;2,76;-1,14;1,67;-4,47;-2,06;-5,47;-0,63;-0,38;7,87;23,99;3,14;-6,4;0,22;-4,33;-2,9;2,43;-7,96;3,39;-5,09;0,91;4,52;12,73;7,46;10,08;8,39;9,33;5,2;-0,78;-7,78;5,78;-2,08;0,54;2,84;5,45;-3,45
