      name      value lower upper bsm2$otimizados$par
1       k1  0.4016000     0     1         0.302997759
2       ks -1.1053000  -Inf   Inf        -1.057383413
3       f2 -1.6886000  -Inf   Inf        -1.652766575
4       df 15.4189000     2   Inf        20.410065160
5    mu[0]  0.5283036  -Inf   Inf         0.614549335
6   gamma1  1.0547368  -Inf   Inf         0.156740123
7   gamma2  0.4778947  -Inf   Inf         0.102938836
8   gamma3  0.6600000  -Inf   Inf         0.094268963
9   gamma4  0.5910526  -Inf   Inf        -0.163168336
10  gamma5  0.4547368  -Inf   Inf        -0.398898873
11  gamma6  0.2289474  -Inf   Inf        -0.152120316
12  gamma7  0.4710526  -Inf   Inf         0.671537252
13  gamma8  0.3047368  -Inf   Inf        -0.058247395
14  gamma9  0.2866667  -Inf   Inf        -0.459626812
15 gamma10  0.4266667  -Inf   Inf         0.005414731
16 gamma11  0.6994444  -Inf   Inf         0.216905182


      name      value lower upper bsm2$otimizados$par
1       k1  0.4016000     0     1          0.49004755
2       ks -1.1053000  -Inf   Inf         -1.11296895
3       f2 -1.6886000  -Inf   Inf         -1.69743177
4       df 10.0000000     2   Inf         11.19789366
5    mu[0]  0.5283036  -Inf   Inf          0.41486178
6   gamma1  1.0430769  -Inf   Inf          0.24895931
7   gamma2  0.4176923  -Inf   Inf         -0.08233180
8   gamma3  0.6600000  -Inf   Inf          0.18345128
9   gamma4  0.5738462  -Inf   Inf         -0.10544710
10  gamma5  0.4669231  -Inf   Inf         -0.34595441
11  gamma6  0.1553846  -Inf   Inf         -0.09421920
12  gamma7  0.1938462  -Inf   Inf          0.61292804
13  gamma8  0.1715385  -Inf   Inf         -0.05636863
14  gamma9  0.2816667  -Inf   Inf         -0.46079516
15 gamma10  0.3816667  -Inf   Inf         -0.01571723
16 gamma11  0.5316667  -Inf   Inf          0.17860735
