;IPC;mu;gamma;f2;sigma;epsilon;score
jan/99;0,64;0,965621101;0,02726756;-1,689479434;0,184615604;-1,911477983;-0,285135942
fev/99;1,41;0,850728888;0,069671088;-1,689479434;0,184615604;2,651996987;0,335944117
mar/99;0,95;0,986093665;0,004264351;-1,689479434;0,184615604;-0,218605663;-0,040232979
abr/99;0,52;0,969882254;-0,213828433;-1,689479434;0,184615604;-1,278623346;-0,213368178
mai/99;0,08;0,883908026;-0,406012086;-1,689479434;0,184615604;-2,155267122;-0,305582187
jun/99;0,65;0,760777236;-0,186259167;-1,689479434;0,184615604;0,408859977;0,074670162
jul/99;1,2;0,79086471;0,629435061;-1,689479434;0,184615604;-1,193289014;-0,201628284
ago/99;0,48;0,709620936;-0,086097921;-1,689479434;0,184615604;-0,777415411;-0,138095248
set/99;0,19;0,653977061;-0,490754262;-1,689479434;0,184615604;0,145042997;0,026740616
out/99;0,92;0,664751881;-0,007402815;-1,689479434;0,184615604;1,422690868;0,232099508
nov/99;1,12;0,75827368;0,216845169;-1,689479434;0,184615604;0,784771969;0,139301847
dez/99;0,6;0,814403741;-0,001728259;-1,689479434;0,184615604;-1,151990828;-0,195778856
jan/00;1,01;0,735516926;0,314393747;-1,689479434;0,184615604;-0,216182559;-0,03978974
fev/00;0,05;0,719484113;-0,369197127;-1,689479434;0,184615604;-1,626552577;-0,256205101
mar/00;0,51;0,616249245;-0,039558795;-1,689479434;0,184615604;-0,361239514;-0,066129247
abr/00;0,25;0,589603234;-0,050989349;-1,689479434;0,184615604;-1,563323356;-0,249032591
mai/00;0,4;0,489258446;-0,135305124;-1,689479434;0,184615604;0,249419209;0,045861136
jun/00;-0,01;0,507737658;-0,339768434;-1,689479434;0,184615604;-0,963998821;-0,167826608
jul/00;1,91;0,440113877;0,78546541;-1,689479434;0,184615604;3,70727447;0,361398654
ago/00;0,86;0,585735264;0,049850729;-1,689479434;0,184615604;1,21557443;0,204739621
set/00;0,04;0,668232715;-0,519512364;-1,689479434;0,184615604;-0,588901201;-0,10632237
out/00;0,02;0,625391352;-0,297783658;-1,689479434;0,184615604;-1,666206365;-0,260563381
nov/00;0,4;0,520400366;-0,010993971;-1,689479434;0,184615604;-0,59261727;-0,106963414
dez/00;0,62;0,477300701;0,150643471;-1,689479434;0,184615604;-0,043030883;-0,007943216
jan/01;0,64;0,474100075;0,297139441;-1,689479434;0,184615604;-0,710879865;-0,127063618
fev/01;0,4;0,422901267;-0,13365826;-1,689479434;0,184615604;0,599933004;0,108223822
mar/01;0,56;0,466508798;0,002940515;-1,689479434;0,184615604;0,490482304;0,08915582
abr/01;0,86;0,5024331;0,228228744;-1,689479434;0,184615604;0,70058085;0,125337478
mai/01;0,41;0,55293638;-0,174819917;-1,689479434;0,184615604;0,172702287;0,031821813
jun/01;0,52;0,565758609;-0,122410331;-1,689479434;0,184615604;0,415196335;0,075801909
jul/01;1,36;0,596302107;0,387682123;-1,689479434;0,184615604;2,036749673;0,296126456
ago/01;0,54;0,715622821;-0,165151456;-1,689479434;0,184615604;-0,056719827;-0,010469175
set/01;0,12;0,711404389;-0,380207199;-1,689479434;0,184615604;-1,143983422;-0,19463223
out/01;0,71;0,632979594;0,019059424;-1,689479434;0,184615604;0,313954946;0,057591807
nov/01;0,85;0,656185543;0,15223744;-1,689479434;0,184615604;0,225208571;0,041440329
dez/01;0,7;0,672883442;0,209136063;-1,689479434;0,184615604;-0,985937819;-0,171196917
jan/02;0,79;0,603901634;0,48317044;-1,689479434;0,184615604;-1,609138493;-0,254257064
fev/02;0,14;0,501451706;-0,244833793;-1,689479434;0,184615604;-0,631679609;-0,113668271
mar/02;0,42;0,455650397;-0,107537597;-1,689479434;0,184615604;0,389388542;0,071185273
abr/02;0,71;0,484333675;0,072207312;-1,689479434;0,184615604;0,831235337;0,146859874
mai/02;0,28;0,543509154;-0,215639941;-1,689479434;0,184615604;-0,259291263;-0,047660825
jun/02;0,55;0,524304779;-0,224395613;-1,689479434;0,184615604;1,354657079;0,223426563
jul/02;1,03;0,614331916;0,034257479;-1,689479434;0,184615604;2,065971662;0,298541955
ago/02;0,76;0,734625927;-0,147746863;-1,689479434;0,184615604;0,937737291;0,163756185
