data;IFA-MÓVEL;mu ;mu2;mu3
01/01/1999;;8,18;8;8,1
01/02/1999;;7,19;7,27;7,35
01/03/1999;;8,62;8,35;8,11
01/04/1999;;9,21;8,82;8,29
01/05/1999;;8,84;8,61;8,13
01/06/1999;;7,78;7,83;7,56
01/07/1999;;8,76;8,56;8,2
01/08/1999;;10,18;9,64;8,95
01/09/1999;;10,43;9,91;9,49
01/10/1999;;9,79;9,51;9,74
01/11/1999;;10,75;10,26;10,23
01/12/1999;;11,68;11,01;10,64
01/01/2000;;10,47;10,08;9,97
01/02/2000;;10,31;10,03;9,46
01/03/2000;;8,95;9,02;8,89
01/04/2000;;8,18;8,43;8,42
01/05/2000;;7,49;7,87;8,02
01/06/2000;;7,72;8;8,03
01/07/2000;;6,85;7,32;7,68
01/08/2000;;8,22;8,36;8,43
01/09/2000;;9,38;9,21;9,1
01/10/2000;;8,79;8,77;9,06
01/11/2000;;7,62;7,89;8,43
01/12/2000;;6,95;7,35;7,92
01/01/2001;6,8;5,63;6,35;7,21
01/02/2001;6,9;5,39;6,04;6,67
01/03/2001;7,2;5,68;6,16;6,87
01/04/2001;8;5,84;6,2;6,76
01/05/2001;8,3;7,01;7,05;7,31
01/06/2001;8,6;7,25;7,23;7,37
01/07/2001;8,4;8,02;7,82;7,83
01/08/2001;8,7;9,27;8,77;8,44
01/09/2001;8,5;9,23;8,78;8,59
01/10/2001;8,5;9,09;8,72;8,71
01/11/2001;8,5;9,8;9,28;9,09
01/12/2001;8,2;10,18;9,63;9,29
01/01/2002;8,4;8,79;8,57;8,54
01/02/2002;8,1;8,51;8,42;8,28
01/03/2002;8,1;7,61;7,78;7,97
01/04/2002;7,7;7,05;7,36;7,68
01/05/2002;7,7;7,46;7,64;7,81
01/06/2002;8;7,2;7,43;7,64
01/07/2002;8,6;7,76;7,84;7,95
01/08/2002;9,6;8,09;8,07;7,98
01/09/2002;10,3;8,78;8,56;8,35
01/10/2002;11,1;9,92;9,4;8,96
01/11/2002;12,7;11,09;10,3;9,58
01/12/2002;14,4;12,25;11,17;10,21
01/01/2003;15;11,77;10,98;10,23
01/02/2003;14,6;13,25;12,09;11,01
01/03/2003;14,1;14,6;13,15;11,78
01/04/2003;14,3;14,79;13,53;12,2
