"data";"round...bsm2_beta.out....mu...100...1..12...1....100..2."
1999-01-01;8.1
1999-02-01;7.35
1999-03-01;8.11
1999-04-01;8.29
1999-05-01;8.13
1999-06-01;7.56
1999-07-01;8.2
1999-08-01;8.95
1999-09-01;9.49
1999-10-01;9.74
1999-11-01;10.23
1999-12-01;10.64
2000-01-01;9.97
2000-02-01;9.46
2000-03-01;8.89
2000-04-01;8.42
2000-05-01;8.02
2000-06-01;8.03
2000-07-01;7.68
2000-08-01;8.43
2000-09-01;9.1
2000-10-01;9.06
2000-11-01;8.43
2000-12-01;7.92
2001-01-01;7.21
2001-02-01;6.67
2001-03-01;6.87
2001-04-01;6.76
2001-05-01;7.31
2001-06-01;7.37
2001-07-01;7.83
2001-08-01;8.44
2001-09-01;8.59
2001-10-01;8.71
2001-11-01;9.09
2001-12-01;9.29
2002-01-01;8.54
2002-02-01;8.28
2002-03-01;7.97
2002-04-01;7.68
2002-05-01;7.81
2002-06-01;7.64
2002-07-01;7.95
2002-08-01;7.98
2002-09-01;8.35
2002-10-01;8.96
2002-11-01;9.58
2002-12-01;10.21
2003-01-01;10.23
2003-02-01;11.01
2003-03-01;11.78
2003-04-01;12.2
2003-05-01;12.52
2003-06-01;12.69
2003-07-01;11.95
2003-08-01;11.2
2003-09-01;10.56
2003-10-01;11.01
2003-11-01;10.34
2003-12-01;9.65
2004-01-01;8.89
2004-02-01;8.74
2004-03-01;8.38
2004-04-01;8.06
2004-05-01;7.53
2004-06-01;7.91
2004-07-01;8.53
2004-08-01;8.3
2004-09-01;8.78
2004-10-01;8.26
2004-11-01;7.8
2004-12-01;7.42
2005-01-01;6.69
2005-02-01;6.45
2005-03-01;6.57
2005-04-01;6.8
2005-05-01;7.21
2005-06-01;7.54
2005-07-01;7.05
2005-08-01;6.52
2005-09-01;5.79
2005-10-01;5.73
2005-11-01;5.99
2005-12-01;6.13
2006-01-01;5.46
2006-02-01;5.17
2006-03-01;4.8
2006-04-01;4.45
2006-05-01;4.17
2006-06-01;3.53
2006-07-01;3.08
2006-08-01;2.87
2006-09-01;3.05
2006-10-01;3.29
2006-11-01;3.23
2006-12-01;3.06
2007-01-01;2.87
2007-02-01;2.91
2007-03-01;3.23
2007-04-01;3.44
2007-05-01;3.31
2007-06-01;3.36
2007-07-01;3.95
2007-08-01;4.06
2007-09-01;4.39
2007-10-01;4.49
2007-11-01;4.37
2007-12-01;4.25
2008-01-01;4.17
2008-02-01;4.45
2008-03-01;4.13
2008-04-01;4.15
2008-05-01;4.52
2008-06-01;5.11
2008-07-01;5.73
2008-08-01;5.99
2008-09-01;5.72
2008-10-01;5.33
2008-11-01;5.63
2008-12-01;5.85
2009-01-01;5.5
2009-02-01;5.4
2009-03-01;5.43
2009-04-01;5.56
2009-05-01;5.39
2009-06-01;5.18
2009-07-01;4.87
2009-08-01;4.83
2009-09-01;4.82
2009-10-01;4.98
2009-11-01;4.62
2009-12-01;4.42
2010-01-01;4
2010-02-01;4.52
2010-03-01;5.07
2010-04-01;5.45
2010-05-01;5.72
2010-06-01;5.38
2010-07-01;4.86
2010-08-01;4.29
2010-09-01;3.98
2010-10-01;4.42
2010-11-01;4.9
2010-12-01;5.53
2011-01-01;5.79
2011-02-01;6.02
2011-03-01;6.08
2011-04-01;6.06
2011-05-01;6.39
2011-06-01;6.54
2011-07-01;6.17
2011-08-01;5.88
2011-09-01;6.2
2011-10-01;6.39
2011-11-01;6.18
2011-12-01;6.02
2012-01-01;6.22
2012-02-01;5.78
2012-03-01;5.52
2012-04-01;5.41
2012-05-01;5.11
2012-06-01;5.27
2012-07-01;5.5
2012-08-01;5.7
2012-09-01;5.94
2012-10-01;6.1
2012-11-01;6.28
2012-12-01;6.09
2013-01-01;6.03
2013-02-01;6.02
2013-03-01;5.98
2013-04-01;6.04
2013-05-01;5.84
2013-06-01;5.63
2013-07-01;6.01
2013-08-01;5.62
2013-09-01;5.46
2013-10-01;5.27
2013-11-01;5.5
2013-12-01;5.73
2014-01-01;5.76
2014-02-01;5.75
2014-03-01;6.13
2014-04-01;6.31
2014-05-01;6.5
2014-06-01;6.61
2014-07-01;6.74
2014-08-01;6.81
2014-09-01;6.56
2014-10-01;6.63
2014-11-01;6.52
2014-12-01;6.55
2015-01-01;6.59
2015-02-01;7.25
2015-03-01;7.73
2015-04-01;8.33
2015-05-01;8.1
2015-06-01;8.32
2015-07-01;8.84
2015-08-01;9.27
2015-09-01;9.11
2015-10-01;8.91
2015-11-01;9.13
2015-12-01;9.43
2016-01-01;9.45
2016-02-01;9.88
2016-03-01;9.76
2016-04-01;9.11
2016-05-01;8.8
2016-06-01;8.77
2016-07-01;8.39
2016-08-01;8.47
2016-09-01;8.56
2016-10-01;8.09
2016-11-01;7.74
2016-12-01;7.11
2017-01-01;6.62
2017-02-01;5.94
2017-03-01;5.56
2017-04-01;5.26
2017-05-01;4.88
2017-06-01;4.95
2017-07-01;4.37
2017-08-01;4.65
