"data";"round...dcs_betapsi.out....mu...100...1..12...1....100..2."
1999-01-01;8.91
1999-02-01;9.07
1999-03-01;9.46
1999-04-01;9.32
1999-05-01;8.99
1999-06-01;8.59
1999-07-01;8.98
1999-08-01;9.38
1999-09-01;9.05
1999-10-01;8.84
1999-11-01;9.24
1999-12-01;9.44
2000-01-01;9.04
2000-02-01;8.9
2000-03-01;8.49
2000-04-01;8.38
2000-05-01;8
2000-06-01;7.98
2000-07-01;7.6
2000-08-01;7.86
2000-09-01;8.23
2000-10-01;7.82
2000-11-01;7.46
2000-12-01;7.37
2001-01-01;7.33
2001-02-01;6.93
2001-03-01;7.04
2001-04-01;6.85
2001-05-01;7.2
2001-06-01;6.86
2001-07-01;7.21
2001-08-01;7.6
2001-09-01;7.48
2001-10-01;7.22
2001-11-01;7.58
2001-12-01;7.61
2002-01-01;7.47
2002-02-01;7.14
2002-03-01;6.86
2002-04-01;6.74
2002-05-01;6.97
2002-06-01;6.61
2002-07-01;6.99
2002-08-01;7.38
2002-09-01;7.58
2002-10-01;7.8
2002-11-01;8.2
2002-12-01;8.4
2003-01-01;8.76
2003-02-01;9.14
2003-03-01;9.54
2003-04-01;9.44
2003-05-01;9.77
2003-06-01;9.49
2003-07-01;9.07
2003-08-01;8.98
2003-09-01;8.65
2003-10-01;9.06
2003-11-01;8.65
2003-12-01;8.33
2004-01-01;8.08
2004-02-01;8.15
2004-03-01;7.79
2004-04-01;7.63
2004-05-01;7.31
2004-06-01;7.66
2004-07-01;7.96
2004-08-01;7.8
2004-09-01;8.19
2004-10-01;7.78
2004-11-01;7.47
2004-12-01;7.31
2005-01-01;7.33
2005-02-01;7.01
2005-03-01;7.1
2005-04-01;7.09
2005-05-01;7.37
2005-06-01;7.49
2005-07-01;7.08
2005-08-01;6.87
2005-09-01;6.47
2005-10-01;6.55
2005-11-01;6.56
2005-12-01;6.51
2006-01-01;6.27
2006-02-01;5.95
2006-03-01;5.66
2006-04-01;5.43
2006-05-01;5.39
2006-06-01;4.99
2006-07-01;4.62
2006-08-01;4.64
2006-09-01;4.68
2006-10-01;4.77
2006-11-01;4.53
2006-12-01;4.4
2007-01-01;4.66
2007-02-01;4.31
2007-03-01;4.54
2007-04-01;4.41
2007-05-01;4.29
2007-06-01;4.28
2007-07-01;4.61
2007-08-01;4.41
2007-09-01;4.76
2007-10-01;4.69
2007-11-01;4.5
2007-12-01;4.4
2008-01-01;4.7
2008-02-01;4.57
2008-03-01;4.25
2008-04-01;4.44
2008-05-01;4.71
2008-06-01;5.07
2008-07-01;5.43
2008-08-01;5.38
2008-09-01;5.23
2008-10-01;5
2008-11-01;5.32
2008-12-01;5.22
2009-01-01;5.18
2009-02-01;5.03
2009-03-01;4.92
2009-04-01;5.13
2009-05-01;4.97
2009-06-01;5.06
2009-07-01;4.92
2009-08-01;5.06
2009-09-01;4.98
2009-10-01;5.07
2009-11-01;4.72
2009-12-01;4.68
2010-01-01;4.4
2010-02-01;4.8
2010-03-01;5.01
2010-04-01;5.25
2010-05-01;5.39
2010-06-01;5.06
2010-07-01;4.76
2010-08-01;4.42
2010-09-01;4.38
2010-10-01;4.76
2010-11-01;4.94
2010-12-01;5.31
2011-01-01;5.22
2011-02-01;5.55
2011-03-01;5.43
2011-04-01;5.65
2011-05-01;5.98
2011-06-01;5.8
2011-07-01;5.43
2011-08-01;5.19
2011-09-01;5.55
2011-10-01;5.77
2011-11-01;5.48
2011-12-01;5.65
2012-01-01;5.82
2012-02-01;5.49
2012-03-01;5.45
2012-04-01;5.57
2012-05-01;5.48
2012-06-01;5.66
2012-07-01;5.4
2012-08-01;5.39
2012-09-01;5.68
2012-10-01;5.94
2012-11-01;5.86
2012-12-01;5.73
2013-01-01;5.89
2013-02-01;5.78
2013-03-01;5.7
2013-04-01;5.93
2013-05-01;5.74
2013-06-01;5.67
2013-07-01;5.88
2013-08-01;5.48
2013-09-01;5.66
2013-10-01;5.73
2013-11-01;5.92
2013-12-01;5.96
2014-01-01;5.99
2014-02-01;5.9
2014-03-01;6.2
2014-04-01;6.32
2014-05-01;6.44
2014-06-01;6.36
2014-07-01;6.44
2014-08-01;6.08
2014-09-01;6.09
2014-10-01;6.42
2014-11-01;6.23
2014-12-01;6.41
2015-01-01;6.43
2015-02-01;6.83
2015-03-01;7.13
2015-04-01;7.54
2015-05-01;7.19
2015-06-01;7.51
2015-07-01;7.85
2015-08-01;7.61
2015-09-01;7.45
2015-10-01;7.68
2015-11-01;7.89
2015-12-01;8.12
2016-01-01;8.04
2016-02-01;8.45
2016-03-01;8.35
2016-04-01;8.02
2016-05-01;7.91
2016-06-01;8.07
2016-07-01;7.79
2016-08-01;7.74
2016-09-01;7.68
2016-10-01;7.38
2016-11-01;7.38
2016-12-01;6.99
2017-01-01;6.76
2017-02-01;6.46
2017-03-01;6.47
2017-04-01;6.28
2017-05-01;5.91
2017-06-01;6.22
2017-07-01;5.83
2017-08-01;6.06
