"data";"round...dcs_betapsidummy.out....mu...100...1..12...1....100.."
1999-01-01;10.04
1999-02-01;10.65
1999-03-01;12.22
1999-04-01;11.18
1999-05-01;10.19
1999-06-01;8.66
1999-07-01;9.83
1999-08-01;10.94
1999-09-01;9.95
1999-10-01;9.16
1999-11-01;10.21
1999-12-01;10.47
2000-01-01;9.19
2000-02-01;8.72
2000-03-01;7.22
2000-04-01;7.13
2000-05-01;6.04
2000-06-01;6.32
2000-07-01;5.51
2000-08-01;6.21
2000-09-01;7.48
2000-10-01;6.11
2000-11-01;5.44
2000-12-01;5.3
2001-01-01;5.39
2001-02-01;4.3
2001-03-01;4.91
2001-04-01;4.75
2001-05-01;5.85
2001-06-01;5.4
2001-07-01;6.49
2001-08-01;8.45
2001-09-01;7.87
2001-10-01;7.19
2001-11-01;8.03
2001-12-01;8.05
2002-01-01;7.65
2002-02-01;6.62
2002-03-01;5.95
2002-04-01;5.61
2002-05-01;6.23
2002-06-01;5.51
2002-07-01;6.74
2002-08-01;7.95
2002-09-01;8.4
2002-10-01;8.83
2002-11-01;10.1
2002-12-01;10.96
2003-01-01;12.94
2003-02-01;14.3
2003-03-01;14.63
2003-04-01;13.78
2003-05-01;13.94
2003-06-01;12.84
2003-07-01;10.83
2003-08-01;10.32
2003-09-01;9.11
2003-10-01;10.26
2003-11-01;8.51
2003-12-01;7.8
2004-01-01;7
2004-02-01;7.09
2004-03-01;6.32
2004-04-01;6.02
2004-05-01;5.39
2004-06-01;6.49
2004-07-01;7.57
2004-08-01;7.4
2004-09-01;8.51
2004-10-01;6.94
2004-11-01;6.37
2004-12-01;5.9
2005-01-01;6
2005-02-01;5.33
2005-03-01;5.65
2005-04-01;5.82
2005-05-01;6.67
2005-06-01;7.22
2005-07-01;5.99
2005-08-01;5.7
2005-09-01;4
2005-10-01;4.57
2005-11-01;4.75
2005-12-01;4.92
2006-01-01;4.51
2006-02-01;3.79
2006-03-01;3.3
2006-04-01;2.93
2006-05-01;3.12
2006-06-01;1.99
2006-07-01;1.56
2006-08-01;1.84
2006-09-01;2.3
2006-10-01;2.75
2006-11-01;2.55
2006-12-01;2.42
2007-01-01;3.16
2007-02-01;2.46
2007-03-01;3.16
2007-04-01;3.12
2007-05-01;3.03
2007-06-01;3.2
2007-07-01;4.28
2007-08-01;3.98
2007-09-01;4.86
2007-10-01;4.71
2007-11-01;4.24
2007-12-01;3.91
2008-01-01;4.6
2008-02-01;4.37
2008-03-01;3.53
2008-04-01;3.88
2008-05-01;4.66
2008-06-01;5.84
2008-07-01;6.96
2008-08-01;6.74
2008-09-01;6.17
2008-10-01;5.34
2008-11-01;5.97
2008-12-01;5.69
2009-01-01;5.43
2009-02-01;4.95
2009-03-01;4.66
2009-04-01;5.02
2009-05-01;4.83
2009-06-01;5.01
2009-07-01;4.88
2009-08-01;5.06
2009-09-01;4.93
2009-10-01;4.98
2009-11-01;4.08
2009-12-01;3.91
2010-01-01;3.26
2010-02-01;4.62
2010-03-01;5.09
2010-04-01;5.74
2010-05-01;6.09
2010-06-01;5.29
2010-07-01;4.5
2010-08-01;3.49
2010-09-01;3.38
2010-10-01;4.53
2010-11-01;4.96
2010-12-01;6.14
2011-01-01;5.82
2011-02-01;6.51
2011-03-01;6.25
2011-04-01;6.49
2011-05-01;7.37
2011-06-01;6.94
2011-07-01;5.75
2011-08-01;5.04
2011-09-01;5.82
2011-10-01;6.27
2011-11-01;5.61
2011-12-01;5.77
2012-01-01;6.13
2012-02-01;5.23
2012-03-01;5.1
2012-04-01;5.27
2012-05-01;5.23
2012-06-01;5.65
2012-07-01;5.25
2012-08-01;5.09
2012-09-01;5.77
2012-10-01;6.37
2012-11-01;6.26
2012-12-01;5.84
2013-01-01;6.01
2013-02-01;5.76
2013-03-01;5.54
2013-04-01;5.98
2013-05-01;5.68
2013-06-01;5.51
2013-07-01;6.05
2013-08-01;4.44
2013-09-01;5.08
2013-10-01;5.19
2013-11-01;5.72
2013-12-01;5.87
2014-01-01;5.9
2014-02-01;5.66
2014-03-01;6.4
2014-04-01;6.67
2014-05-01;6.98
2014-06-01;6.87
2014-07-01;7.02
2014-08-01;5.96
2014-09-01;5.84
2014-10-01;6.58
2014-11-01;6.24
2014-12-01;6.48
2015-01-01;6.53
2015-02-01;8.12
2015-03-01;8.56
2015-04-01;9.97
2015-05-01;8.71
2015-06-01;9.33
2015-07-01;10.12
2015-08-01;9.32
2015-09-01;8.61
2015-10-01;8.74
2015-11-01;9.11
2015-12-01;9.49
2016-01-01;9.17
2016-02-01;10.54
2016-03-01;9.91
2016-04-01;8.85
2016-05-01;8.34
2016-06-01;8.6
2016-07-01;8.03
2016-08-01;7.73
2016-09-01;7.52
2016-10-01;6.7
2016-11-01;6.64
2016-12-01;5.4
2017-01-01;5.02
2017-02-01;4.31
2017-03-01;4.54
2017-04-01;4.34
2017-05-01;3.52
2017-06-01;4.56
2017-07-01;3.11
2017-08-01;4.21
