"data";"round...core.100...1..12...1....100..2."
1999-01-01;6.8
1999-02-01;6.48
1999-03-01;6.78
1999-04-01;7.05
1999-05-01;6.87
1999-06-01;6.53
1999-07-01;6.86
1999-08-01;7.2
1999-09-01;7.26
1999-10-01;7.05
1999-11-01;7.39
1999-12-01;7.74
2000-01-01;7.54
2000-02-01;7.52
2000-03-01;7.17
2000-04-01;6.92
2000-05-01;6.58
2000-06-01;6.51
2000-07-01;6.22
2000-08-01;6.45
2000-09-01;6.8
2000-10-01;6.52
2000-11-01;6.17
2000-12-01;5.95
2001-01-01;5.93
2001-02-01;5.66
2001-03-01;5.69
2001-04-01;5.63
2001-05-01;5.94
2001-06-01;5.95
2001-07-01;6.24
2001-08-01;6.55
2001-09-01;6.69
2001-10-01;6.5
2001-11-01;6.76
2001-12-01;7.01
2002-01-01;7.01
2002-02-01;6.81
2002-03-01;6.5
2002-04-01;6.24
2002-05-01;6.38
2002-06-01;6.2
2002-07-01;6.48
2002-08-01;6.83
2002-09-01;7.13
2002-10-01;7.46
2002-11-01;7.81
2002-12-01;7.97
2003-01-01;8.24
2003-02-01;8.5
2003-03-01;8.84
2003-04-01;9.11
2003-05-01;9.41
2003-06-01;9.49
2003-07-01;9.13
2003-08-01;8.79
2003-09-01;8.44
2003-10-01;8.76
2003-11-01;8.4
2003-12-01;8.05
2004-01-01;7.72
2004-02-01;7.8
2004-03-01;7.54
2004-04-01;7.25
2004-05-01;6.92
2004-06-01;7.18
2004-07-01;7.53
2004-08-01;7.52
2004-09-01;7.81
2004-10-01;7.48
2004-11-01;7.13
2004-12-01;6.84
2005-01-01;6.77
2005-02-01;6.64
2005-03-01;6.65
2005-04-01;6.71
2005-05-01;6.97
2005-06-01;7.26
2005-07-01;6.92
2005-08-01;6.58
2005-09-01;6.27
2005-10-01;6.07
2005-11-01;6.06
2005-12-01;6.08
2006-01-01;5.89
2006-02-01;5.64
2006-03-01;5.33
2006-04-01;5.02
2006-05-01;4.8
2006-06-01;4.45
2006-07-01;4.1
2006-08-01;3.84
2006-09-01;3.75
2006-10-01;3.9
2006-11-01;3.75
2006-12-01;3.58
2007-01-01;3.8
2007-02-01;3.78
2007-03-01;3.95
2007-04-01;4.01
2007-05-01;3.85
2007-06-01;3.83
2007-07-01;4.15
2007-08-01;4.13
2007-09-01;4.32
2007-10-01;4.45
2007-11-01;4.27
2007-12-01;4.1
2008-01-01;4.33
2008-02-01;4.58
2008-03-01;4.31
2008-04-01;4.29
2008-05-01;4.56
2008-06-01;4.91
2008-07-01;5.25
2008-08-01;5.43
2008-09-01;5.19
2008-10-01;4.91
2008-11-01;5.1
2008-12-01;5.22
2009-01-01;5.14
2009-02-01;5.15
2009-03-01;5.06
2009-04-01;5.17
2009-05-01;5.08
2009-06-01;5.09
2009-07-01;4.98
2009-08-01;4.94
2009-09-01;4.82
2009-10-01;4.86
2009-11-01;4.57
2009-12-01;4.37
2010-01-01;4.1
2010-02-01;4.44
2010-03-01;4.78
2010-04-01;5.1
2010-05-01;5.35
2010-06-01;5.13
2010-07-01;4.8
2010-08-01;4.45
2010-09-01;4.15
2010-10-01;4.46
2010-11-01;4.76
2010-12-01;5.11
2011-01-01;5.31
2011-02-01;5.64
2011-03-01;5.82
2011-04-01;5.94
2011-05-01;6.25
2011-06-01;6.33
2011-07-01;5.99
2011-08-01;5.65
2011-09-01;5.75
2011-10-01;6.02
2011-11-01;5.84
2011-12-01;5.84
2012-01-01;6.04
2012-02-01;5.87
2012-03-01;5.71
2012-04-01;5.7
2012-05-01;5.58
2012-06-01;5.72
2012-07-01;5.62
2012-08-01;5.46
2012-09-01;5.61
2012-10-01;5.9
2012-11-01;6.02
2012-12-01;5.9
2013-01-01;5.92
2013-02-01;6.03
2013-03-01;5.98
2013-04-01;6.09
2013-05-01;5.95
2013-06-01;5.8
2013-07-01;5.99
2013-08-01;5.64
2013-09-01;5.47
2013-10-01;5.51
2013-11-01;5.72
2013-12-01;5.91
2014-01-01;5.97
2014-02-01;6.04
2014-03-01;6.33
2014-04-01;6.54
2014-05-01;6.68
2014-06-01;6.72
2014-07-01;6.8
2014-08-01;6.51
2014-09-01;6.23
2014-10-01;6.42
2014-11-01;6.4
2014-12-01;6.49
2015-01-01;6.56
2015-02-01;6.9
2015-03-01;7.26
2015-04-01;7.61
2015-05-01;7.44
2015-06-01;7.65
2015-07-01;8
2015-08-01;8.1
2015-09-01;7.83
2015-10-01;7.78
2015-11-01;8.02
2015-12-01;8.32
2016-01-01;8.39
2016-02-01;8.74
2016-03-01;8.92
2016-04-01;8.58
2016-05-01;8.28
2016-06-01;8.3
2016-07-01;8.12
2016-08-01;7.99
2016-09-01;7.84
2016-10-01;7.5
2016-11-01;7.27
2016-12-01;6.92
2017-01-01;6.58
2017-02-01;6.26
2017-03-01;6.09
2017-04-01;5.87
2017-05-01;5.53
2017-06-01;5.64
2017-07-01;5.3
2017-08-01;5.44
