data;ipc;mu;gamma;f2;sigma;epsilon;score;mu_smooth;gamma_smooth
01/01/1999;0,64;0,965852304;0,027622529;-1,688561846;0,184785082;-1,912897016;-0,285678444;;
01/02/1999;1,41;0,851132217;0,069496868;-1,688561846;0,184785082;2,648324791;0,336367184;0,720940557;0,004316227
01/03/1999;0,95;0,986207415;0,004222581;-1,688561846;0,184785082;-0,2187947;-0,040304862;0,710377511;0,115314141
01/04/1999;0,52;0,970022165;-0,213546061;-1,688561846;0,184785082;-1,2797359;-0,213770437;0,68844791;0,088906892
01/05/1999;0,08;0,884178225;-0,405904074;-1,688561846;0,184785082;-2,155337142;-0,306062393;0,687953052;-0,135320933
01/06/1999;0,65;0,761272543;-0,186577188;-1,688561846;0,184785082;0,407525566;0,074502183;0,722208741;-0,313449956
01/07/1999;1,2;0,791190435;0,629329761;-1,688561846;0,184785082;-1,193387438;-0,20187404;0,734500943;0,124043129
01/08/1999;0,48;0,71012374;-0,086252684;-1,688561846;0,184785082;-0,778585878;-0,138428722;0,713898589;-0,212187874
01/09/1999;0,19;0,654534824;-0,490877017;-1,688561846;0,184785082;0,14255584;0,026307519;0,694782328;-0,336234949
01/10/1999;0,92;0,665099152;-0,007666151;-1,688561846;0,184785082;1,420931795;0,232165806;0,691065692;-0,084717164
01/11/1999;1,12;0,758330132;0,216699025;-1,688561846;0,184785082;0,784537585;0,139405975;0,661474766;0,11320786
01/12/1999;0,6;0,814311484;-0,001450138;-1,688561846;0,184785082;-1,151940102;-0,195993939;0,600848178;0,18978942
01/01/2000;1,01;0,735606065;0,314485133;-1,688561846;0,184785082;-0,216961228;-0,039969177;0,556095198;0,458546169
01/02/2000;0,05;0,719555616;-0,369026304;-1,688561846;0,184785082;-1,62637215;-0,25652325;0,511755071;-0,013145116
01/03/2000;0,51;0,6165434;-0,039678057;-1,688561846;0,184785082;-0,361854658;-0,066302298;0,504374686;0,115935468
01/04/2000;0,25;0,589918341;-0,050890561;-1,688561846;0,184785082;-1,564129402;-0,249448164;0,507019455;0,091655443
01/05/2000;0,4;0,489747273;-0,135546044;-1,688561846;0,184785082;0,247848852;0,045617032;0,537899437;-0,12544283
01/06/2000;-0,01;0,508065736;-0,339773502;-1,688561846;0,184785082;-0,9648627;-0,1681403;0,569933913;-0,319907913
01/07/2000;1,91;0,440545521;0,785011841;-1,688561846;0,184785082;3,703992927;0,36217972;0,624793904;0,117651641
01/08/2000;0,86;0,585986277;0,049604682;-1,688561846;0,184785082;1,214432672;0,20481786;0,602438265;-0,209300925
01/09/2000;0,04;0,668235124;-0,519170956;-1,688561846;0,184785082;-0,590221713;-0,106654509;0,539225391;-0,328450517
01/10/2000;0,02;0,6254058;-0,297549112;-1,688561846;0,184785082;-1,666025658;-0,260892129;0,491392364;-0,089810989
01/11/2000;0,4;0,520639171;-0,010877133;-1,688561846;0,184785082;-0,593998372;-0,107306523;0,474125849;0,105862948
01/12/2000;0,62;0,477548018;0,150615148;-1,688561846;0,184785082;-0,044176542;-0,008162133;0,473076643;0,193225881
01/01/2001;0,64;0,474270345;0,29728673;-1,688561846;0,184785082;-0,711946403;-0,127370028;0,476256978;0,468784841
01/02/2001;0,4;0,423122276;-0,133881667;-1,688561846;0,184785082;0,599395737;0,10823736;0,506919771;-0,02165196
01/03/2001;0,56;0,466587226;0,002747105;-1,688561846;0,184785082;0,490654696;0,089271831;0,54560206;0,110188949
01/04/2001;0,86;0,502436176;0,228008681;-1,688561846;0,184785082;0,701112567;0,125552501;0,593161962;0,100792472
01/05/2001;0,41;0,552854379;-0,174760731;-1,688561846;0,184785082;0,17266736;0,031844777;0,625919565;-0,122441424
01/06/2001;0,52;0,565642307;-0,122618941;-1,688561846;0,184785082;0,416573852;0,076119934;0,667221814;-0,309197741
01/07/2001;1,36;0,596209841;0,387239716;-1,688561846;0,184785082;2,037775118;0,296656727;0,693806175;0,092020372
01/08/2001;0,54;0,715338484;-0,165001238;-1,688561846;0,184785082;-0,055941994;-0,010335148;0,675239088;-0,209217925
01/09/2001;0,12;0,711188192;-0,379816517;-1,688561846;0,184785082;-1,143878457;-0,194837651;0,649914076;-0,314875688
01/10/2001;0,71;0,632947104;0,018927249;-1,688561846;0,184785082;0,314558114;0,05775502;0,642722068;-0,090738666
01/11/2001;0,85;0,656139826;0,15242172;-1,688561846;0,184785082;0,224252157;0,041303741;0,621129395;0,098185042
01/12/2001;0,7;0,672726198;0,209296698;-1,688561846;0,184785082;-0,985051893;-0,171246212;0,587611201;0,191691048
01/01/2002;0,79;0,60395874;0,483324183;-1,688561846;0,184785082;-1,608803694;-0,254553158;0,560352664;0,485048799
01/02/2002;0,14;0,501737656;-0,244724644;-1,688561846;0,184785082;-0,633238413;-0,114047058;0,552521243;-0,033025193
01/03/2002;0,42;0,455939702;-0,107563106;-1,688561846;0,184785082;0,387603824;0,070932265;0,579085121;0,107903641
01/04/2002;0,71;0,484424019;0,072107609;-1,688561846;0,184785082;0,8305236;0,146896902;0,630100991;0,10329613
01/05/2002;0,28;0,543413508;-0,215522235;-1,688561846;0,184785082;-0,259172834;-0,047683546;0,68385439;-0,11286552
01/06/2002;0,55;0,524265194;-0,224759787;-1,688561846;0,184785082;1,355599649;0,223819457;0,764170021;-0,29747606
01/07/2002;1,03;0,614144525;0,0340125;-1,688561846;0,184785082;2,066416674;0,299030287;0,839312524;0,056680702
01/08/2002;0,76;0,73422632;-0,147812589;-1,688561846;0,184785082;0,939395466;0,164189302;0,909778515;-0,207230317
01/09/2002;0,66;0,800159929;-0,122613701;-1,688561846;0,184785082;-0,094954789;-0,017535974;0,975854896;-0,293200834
01/10/2002;1,14;0,793117996;-0,010635392;-1,688561846;0,184785082;1,934774123;0,287676366;1,043999791;-0,096604509
01/11/2002;3,14;0,90864039;0,165800055;-1,688561846;0,184785082;11,17817266;0,226890369;1,10093043;0,088291158
01/12/2002;1,94;0,999752909;0,497620997;-1,688561846;0,184785082;2,395356205;0,32258493;1,147620155;0,190863989
01/01/2003;2,32;1,129293558;0,921724454;-1,688561846;0,184785082;1,455647738;0,236483751;1,150328169;0,501058756
01/02/2003;1,37;1,224258498;0,073592271;-1,688561846;0,184785082;0,390449431;0,071442857;1,094928398;-0,040884537
01/03/2003;1,06;1,252947855;0,006340767;-1,688561846;0,184785082;-1,078488694;-0,185309653;1,010731247;0,107278712
01/04/2003;1,12;1,178532932;0,068663202;-1,688561846;0,184785082;-0,688346335;-0,123403954;0,930556197;0,099376262
01/05/2003;0,69;1,128977523;-0,011498594;-1,688561846;0,184785082;-2,313384411;-0,317335202;0,841807264;-0,095452594
01/06/2003;-0,16;1,001545011;-0,375216241;-1,688561846;0,184785082;-4,255369318;-0,361628258;0,748144783;-0,290300859
01/07/2003;0,34;0,856325706;-0,265963559;-1,688561846;0,184785082;-1,354882892;-0,223726302;0,672125518;0,021370613
01/08/2003;0,13;0,766483783;-0,337723763;-1,688561846;0,184785082;-1,616797287;-0,255452168;0,625964208;-0,206113191
01/09/2003;0,76;0,663901683;-0,135564378;-1,688561846;0,184785082;1,253687214;0,210232588;0,602324225;-0,26874143
01/10/2003;0,21;0,748324926;-0,368730276;-1,688561846;0,184785082;-0,917794056;-0,160809521;0,541689529;-0,104481246
01/11/2003;0,33;0,683748537;-0,16406393;-1,688561846;0,184785082;-1,026514719;-0,177550752;0,501007295;0,083293876
01/12/2003;0,43;0,612449361;0,011726155;-1,688561846;0,184785082;-1,050818137;-0,181199036;0,482446543;0,187270176
01/01/2004;1,08;0,539685142;0,489029464;-1,688561846;0,184785082;0,27754077;0,051030459;0,484598035;0,510941783
01/02/2004;0,28;0,560177478;-0,17872818;-1,688561846;0,184785082;-0,54901238;-0,099504155;0,479057538;-0,049238853
01/03/2004;0,46;0,520219527;0,046440344;-1,688561846;0,184785082;-0,577210399;-0,104403913;0,487025007;0,113059859
01/04/2004;0,31;0,478293976;0,042245388;-1,688561846;0,184785082;-1,13937425;-0,194189837;0,50758283;0,093163361
01/05/2004;0,71;0,400313032;0,188817104;-1,688561846;0,184785082;0,654110508;0,117606398;0,553206201;-0,080705102
01/06/2004;0,78;0,447540313;-0,077785874;-1,688561846;0,184785082;2,22012273;0,310870157;0,577432648;-0,281666864
01/07/2004;0,59;0,572376653;-0,067242236;-1,688561846;0,184785082;0,459266422;0,083720318;0,566503027;-0,011181659
01/08/2004;0,79;0,605996278;-0,069852906;-1,688561846;0,184785082;1,373793953;0,226172611;0,552510189;-0,1976359
01/09/2004;0,01;0,696820566;-0,380830022;-1,688561846;0,184785082;-1,655926658;-0,259789689;0,50129847;-0,260709738
01/10/2004;0,1;0,592496645;-0,213815664;-1,688561846;0,184785082;-1,508135707;-0,242856746;0,466930262;-0,104631255
01/11/2004;0,37;0,494972497;0,002793091;-1,688561846;0,184785082;-0,691428041;-0,123923274;0,453249997;0,078801324
01/12/2004;0,63;0,445208544;0,188371117;-1,688561846;0,184785082;-0,019372021;-0,003579573;0,45402179;0,187484141
01/01/2005;0,85;0,443771092;0,403495255;-1,688561846;0,184785082;0,014793692;0,002733615;0,455844609;0,513827894
01/02/2005;0,43;0,444868831;-0,087597651;-1,688561846;0,184785082;0,39358599;0,0720054;0,468599249;-0,054473377
01/03/2005;0,7;0,473784089;0,160713263;-1,688561846;0,184785082;0,354480175;0,064973151;0,479969929;0,116951884
01/04/2005;0,88;0,499875401;0,281803964;-1,688561846;0,184785082;0,532081019;0,096547898;0,481972974;0,09526391
01/05/2005;0,79;0,538646206;0,081619936;-1,688561846;0,184785082;0,918547404;0,160927827;0,456481186;-0,070570578
01/06/2005;-0,05;0,603270102;-0,41367145;-1,688561846;0,184785082;-1,296634171;-0,216041733;0,394881072;-0,27950052
01/07/2005;0,13;0,516514077;-0,182172487;-1,688561846;0,184785082;-1,105833801;-0,189326209;0,346236226;-0,03438925
01/08/2005;-0,44;0,440486223;-0,383992284;-1,688561846;0,184785082;-2,686872407;-0,338162926;0,312831069;-0,201602202
01/09/2005;0,09;0,304689908;-0,165693004;-1,688561846;0,184785082;-0,265156166;-0,0487745;0,315316376;-0,245594556
01/10/2005;0,42;0,285103499;0,002107136;-1,688561846;0,184785082;0,718615184;0,128486132;0,315929025;-0,103359384
01/11/2005;0,57;0,336699762;0,112617802;-1,688561846;0,184785082;0,653096207;0,117433857;0,297986418;0,075319452
01/12/2005;0,46;0,383857755;0,177335623;-1,688561846;0,184785082;-0,547627419;-0,099262732;0,262372974;0,184414089
01/01/2006;0,65;0,343996752;0,37523245;-1,688561846;0,184785082;-0,374647139;-0,068604685;0,225376195;0,519844942
01/02/2006;0,01;0,316447122;-0,20655829;-1,688561846;0,184785082;-0,540567619;-0,098030988;0,19702061;-0,060318966
01/03/2006;0,22;0,277080752;0,033146134;-1,688561846;0,184785082;-0,488280143;-0,088852984;0,180069263;0,122274704
01/04/2006;0,34;0,241399999;0,100706095;-1,688561846;0,184785082;-0,011397533;-0,002106076;0,170514353;0,096022503
01/05/2006;-0,19;0,240554261;-0,187021881;-1,688561846;0,184785082;-1,317922294;-0,218876288;0,154248736;-0,068571691
01/06/2006;-0,4;0,152659961;-0,265919983;-1,688561846;0,184785082;-1,55174852;-0,248009188;0,160913348;-0,270735742
01/07/2006;0,06;0,053066744;-0,069847423;-1,688561846;0,184785082;0,415513408;0,075930458;0,190547068;-0,060187507
01/08/2006;0,16;0,083558189;-0,065542382;-1,688561846;0,184785082;0,768374757;0,13674803;0,226685623;-0,197328935
01/09/2006;0,19;0,138472188;-0,148472364;-1,688561846;0,184785082;1,082339403;0,185878023;0,251368569;-0,233452885
01/10/2006;0,14;0,213115352;-0,170837794;-1,688561846;0,184785082;0,528843785;0,095981485;0,261622037;-0,104565428
01/11/2006;0,24;0,251658702;-0,050266291;-1,688561846;0,184785082;0,208932393;0,038498595;0,273592589;0,069664898
01/12/2006;0,63;0,267118609;0,267817084;-1,688561846;0,184785082;0,514458772;0,093460053;0,295005456;0,18222746
01/01/2007;0,69;0,304649426;0,448111555;-1,688561846;0,184785082;-0,339643112;-0,062294918;0,302609908;0,526886258
01/02/2007;0,34;0,279633613;-0,097562284;-1,688561846;0,184785082;0,854661366;0,150785459;0,322914437;-0,065209493
01/03/2007;0,48;0,340184632;0,156077456;-1,688561846;0,184785082;-0,088005417;-0,016253924;0,336354034;0,129022086
01/04/2007;0,31;0,333657533;0,126331268;-1,688561846;0,184785082;-0,811693235;-0,143842457;0,348457019;0,090610213
01/05/2007;0,25;0,27589462;0,085747046;-1,688561846;0,184785082;-0,604170338;-0,109059825;0,371788564;-0,062397288
01/06/2007;0,42;0,232099392;0,053012936;-1,688561846;0,184785082;0,729970571;0,130381853;0,400309521;-0,259643113
01/07/2007;0,28;0,284456921;-0,103505179;-1,688561846;0,184785082;0,53601869;0,097236357;0,403725527;-0,085774721
01/08/2007;0,42;0,323504191;-0,170394339;-1,688561846;0,184785082;1,444327347;0,235084698;0,410773751;-0,195169599
01/09/2007;0,23;0,417907313;-0,302684945;-1,688561846;0,184785082;0,621141223;0,111975745;0,402056258;-0,224008246
