"data";"round...dcs_betapsidummy.out....mu...100...1..12...1....100.."
1999-01-01;8.9
1999-02-01;9.09
1999-03-01;9.75
1999-04-01;9.48
1999-05-01;9.06
1999-06-01;8.48
1999-07-01;9.04
1999-08-01;9.59
1999-09-01;9.12
1999-10-01;8.81
1999-11-01;9.37
1999-12-01;9.57
2000-01-01;9
2000-02-01;8.82
2000-03-01;8.2
2000-04-01;8.13
2000-05-01;7.59
2000-06-01;7.64
2000-07-01;7.15
2000-08-01;7.68
2000-09-01;8.09
2000-10-01;7.46
2000-11-01;7.01
2000-12-01;6.93
2001-01-01;6.88
2001-02-01;6.32
2001-03-01;6.52
2001-04-01;6.32
2001-05-01;6.77
2001-06-01;6.4
2001-07-01;6.86
2001-08-01;7.51
2001-09-01;7.28
2001-10-01;6.95
2001-11-01;7.44
2001-12-01;7.48
2002-01-01;7.28
2002-02-01;6.83
2002-03-01;6.51
2002-04-01;6.37
2002-05-01;6.67
2002-06-01;6.23
2002-07-01;6.76
2002-08-01;7.29
2002-09-01;7.49
2002-10-01;7.75
2002-11-01;8.33
2002-12-01;8.72
2003-01-01;9.38
2003-02-01;10.05
2003-03-01;10.48
2003-04-01;10.26
2003-05-01;10.62
2003-06-01;10.25
2003-07-01;9.57
2003-08-01;9.44
2003-09-01;8.97
2003-10-01;9.55
2003-11-01;8.88
2003-12-01;8.47
2004-01-01;8.12
2004-02-01;8.17
2004-03-01;7.71
2004-04-01;7.5
2004-05-01;7.1
2004-06-01;7.57
2004-07-01;7.98
2004-08-01;7.75
2004-09-01;8.27
2004-10-01;7.62
2004-11-01;7.26
2004-12-01;7.06
2005-01-01;7.07
2005-02-01;6.67
2005-03-01;6.78
2005-04-01;6.8
2005-05-01;7.15
2005-06-01;7.34
2005-07-01;6.74
2005-08-01;6.51
2005-09-01;5.86
2005-10-01;6.04
2005-11-01;6.08
2005-12-01;6.05
2006-01-01;5.75
2006-02-01;5.34
2006-03-01;5.01
2006-04-01;4.76
2006-05-01;4.75
2006-06-01;4.16
2006-07-01;3.76
2006-08-01;3.82
2006-09-01;3.92
2006-10-01;4.04
2006-11-01;3.81
2006-12-01;3.68
2007-01-01;4.01
2007-02-01;3.57
2007-03-01;3.88
2007-04-01;3.79
2007-05-01;3.67
2007-06-01;3.72
2007-07-01;4.18
2007-08-01;3.95
2007-09-01;4.39
2007-10-01;4.32
2007-11-01;4.1
2007-12-01;3.99
2008-01-01;4.36
2008-02-01;4.24
2008-03-01;3.81
2008-04-01;4.05
2008-05-01;4.41
2008-06-01;4.92
2008-07-01;5.42
2008-08-01;5.32
2008-09-01;5.12
2008-10-01;4.81
2008-11-01;5.23
2008-12-01;5.12
2009-01-01;5.03
2009-02-01;4.84
2009-03-01;4.72
2009-04-01;4.95
2009-05-01;4.81
2009-06-01;4.91
2009-07-01;4.79
2009-08-01;4.9
2009-09-01;4.83
2009-10-01;4.9
2009-11-01;4.45
2009-12-01;4.4
2010-01-01;4.06
2010-02-01;4.64
2010-03-01;4.88
2010-04-01;5.17
2010-05-01;5.35
2010-06-01;4.93
2010-07-01;4.56
2010-08-01;4.1
2010-09-01;4.07
2010-10-01;4.6
2010-11-01;4.8
2010-12-01;5.31
2011-01-01;5.16
2011-02-01;5.56
2011-03-01;5.44
2011-04-01;5.65
2011-05-01;6.1
2011-06-01;5.89
2011-07-01;5.37
2011-08-01;5.07
2011-09-01;5.52
2011-10-01;5.78
2011-11-01;5.42
2011-12-01;5.58
2012-01-01;5.79
2012-02-01;5.34
2012-03-01;5.3
2012-04-01;5.43
2012-05-01;5.36
2012-06-01;5.57
2012-07-01;5.29
2012-08-01;5.22
2012-09-01;5.58
2012-10-01;5.89
2012-11-01;5.81
2012-12-01;5.63
2013-01-01;5.79
2013-02-01;5.67
2013-03-01;5.56
2013-04-01;5.83
2013-05-01;5.63
2013-06-01;5.55
2013-07-01;5.82
2013-08-01;5.17
2013-09-01;5.44
2013-10-01;5.52
2013-11-01;5.75
2013-12-01;5.81
2014-01-01;5.82
2014-02-01;5.71
2014-03-01;6.09
2014-04-01;6.23
2014-05-01;6.38
2014-06-01;6.32
2014-07-01;6.41
2014-08-01;5.91
2014-09-01;5.91
2014-10-01;6.32
2014-11-01;6.12
2014-12-01;6.29
2015-01-01;6.32
2015-02-01;6.95
2015-03-01;7.27
2015-04-01;7.86
2015-05-01;7.36
2015-06-01;7.76
2015-07-01;8.21
2015-08-01;7.85
2015-09-01;7.62
2015-10-01;7.85
2015-11-01;8.1
2015-12-01;8.36
2016-01-01;8.23
2016-02-01;8.85
2016-03-01;8.64
2016-04-01;8.19
2016-05-01;8.04
2016-06-01;8.23
2016-07-01;7.9
2016-08-01;7.78
2016-09-01;7.7
2016-10-01;7.3
2016-11-01;7.29
2016-12-01;6.71
2017-01-01;6.45
2017-02-01;6.07
2017-03-01;6.11
2017-04-01;5.9
2017-05-01;5.4
2017-06-01;5.84
2017-07-01;5.18
2017-08-01;5.55
