"data";"dcs_padrao";"dcs_padrao_dummy";"dcs_padrao_psi";"dcs_padrao_psi_dummy";"dcs_padrao_ma";"dcs_padrao_dummy_ma";"dcs_padrao_psi_ma";"dcs_padrao_psi_dummy_ma"
1999-01-01;8,66;7,02;8,91;10,04;6,1;1,39;7,87;7,86
1999-02-01;5,96;4,38;9,07;10,65;4,72;1,39;7,94;7,91
1999-03-01;8,52;8,3;9,46;12,22;5,95;2,59;8,06;8,06
1999-04-01;9,44;9,14;9,32;11,18;5,9;4,65;7,02;7,04
1999-05-01;7,29;7,26;8,99;10,19;4,62;4,17;5,06;5,04
1999-06-01;4,79;4,65;8,59;8,66;3,11;2,19;3,06;3
1999-07-01;7,42;7,54;8,98;9,83;3,2;3,06;3,35;3,29
1999-08-01;10,17;11,11;9,38;10,94;4,45;4,51;4,6;4,5
1999-09-01;9,11;9,78;9,05;9,95;3,18;3,07;3,08;3,01
1999-10-01;7,01;7,54;8,84;9,16;3,33;3,35;3,68;3,56
1999-11-01;9,49;9,87;9,24;10,21;4,81;5,21;5,28;5,18
1999-12-01;11,39;11,41;9,44;10,47;5,67;5,81;5,54;5,58
2000-01-01;8,78;8,64;9,04;9,19;7,14;8;7,62;7,69
2000-02-01;7,2;7,22;8,9;8,72;7,9;8,04;7,51;7,52
2000-03-01;4,63;4,49;8,49;7,22;7,79;7,85;7,77;7,77
2000-04-01;4,48;4,41;8,38;7,13;6,99;7;6,91;6,92
2000-05-01;3,01;3,17;8;6,04;7,76;7,72;7,97;7,92
2000-06-01;4,54;4,33;7,98;6,32;8,53;8,49;8,43;8,39
2000-07-01;3,63;3,68;7,6;5,51;7,27;7,05;7,13;7,1
2000-08-01;5,41;4,13;7,86;6,21;8,83;9,15;9,19;9,16
2000-09-01;8,13;7,58;8,23;7,48;7,43;7,39;7,33;7,28
2000-10-01;5,77;5,47;7,82;6,11;6,29;6,2;6,59;6,51
2000-11-01;3,48;3,41;7,46;5,44;6,18;6,22;6,19;6,15
2000-12-01;3,6;3,57;7,37;5,3;6,11;6,18;6,12;6,18
2001-01-01;4,85;4,56;7,33;5,39;6,63;6,62;6,47;6,47
2001-02-01;2,99;2,91;6,93;4,3;5,32;5,2;5;5,02
2001-03-01;4,45;4,18;7,04;4,91;5,79;5,84;5,83;5,81
2001-04-01;4,81;4,58;6,85;4,75;6,85;6,98;6,8;6,76
2001-05-01;7,13;6,88;7,2;5,85;8,39;8,85;8,72;8,67
2001-06-01;6,3;6,25;6,86;5,4;8,13;8,08;7,96;7,95
2001-07-01;8,2;7,96;7,21;6,49;9,35;9,4;9,54;9,47
2001-08-01;10,92;11,79;7,6;8,45;10,4;10,4;10,25;10,16
2001-09-01;9,87;10,51;7,48;7,87;10,23;10,28;10,37;10,29
2001-10-01;7,33;7,67;7,22;7,19;9,21;9,18;9,26;9,18
2001-11-01;8,75;8,76;7,58;8,03;8,9;8,94;9,12;9,08
2001-12-01;9,15;9,12;7,61;8,05;10,16;10,37;10,27;10,27
2002-01-01;7,71;7,83;7,47;7,65;8,9;8,82;8,64;8,67
2002-02-01;5,48;5,57;7,14;6,62;7,88;7,87;7,9;7,92
2002-03-01;3,69;3,93;6,86;5,95;6,5;6,31;6,23;6,26
2002-04-01;3,43;3,57;6,74;5,61;5,93;5,95;6,17;6,16
2002-05-01;5,58;5,51;6,97;6,23;5,91;5,83;5,91;5,89
2002-06-01;4,7;4,74;6,61;5,51;5,97;5,9;6,1;6,06
2002-07-01;7,16;7,19;6,99;6,74;7,12;7,14;7,22;7,15
2002-08-01;9,91;10,35;7,38;7,95;8,5;8,68;8,67;8,57
2002-09-01;11,22;11,25;7,58;8,4;9,87;10,16;10,09;9,98
2002-10-01;11,2;11,18;7,8;8,83;10,8;10,9;10,84;10,71
2002-11-01;13,41;13,27;8,2;10,1;12,38;12,87;12,77;12,65
2002-12-01;15,18;14,7;8,4;10,96;13,44;14,47;14,62;14,22
2003-01-01;18,11;18,17;8,76;12,94;14,7;16,76;16,82;16,42
2003-02-01;20,78;20,66;9,14;14,3;16,26;17,09;16,61;16,59
2003-03-01;19,35;19,5;9,54;14,63;14,65;14,88;14,55;14,51
2003-04-01;16,4;16,06;9,44;13,78;13,71;13,74;13,9;13,92
2003-05-01;14,54;14,57;9,77;13,94;14,91;14,96;15,12;15,05
2003-06-01;12,05;12,06;9,49;12,84;14,89;14,82;14,78;14,78
2003-07-01;9,31;8,19;9,07;10,83;13,25;12,7;12,8;12,77
2003-08-01;7,49;7,05;8,98;10,32;11,65;10,86;11,1;11,06
2003-09-01;5,58;5,55;8,65;9,11;10,05;9,12;9,38;9,33
2003-10-01;8,23;8,45;9,06;10,26;11,12;10,89;11,12;11,01
2003-11-01;5,89;6,12;8,65;8,51;9,8;9,61;9,51;9,45
2003-12-01;4,15;4,51;8,33;7,8;8,25;7,75;7,82;7,83
2004-01-01;3,63;3,83;8,08;7;7,21;7,07;7,04;7,08
2004-02-01;5,44;5,23;8,15;7,09;7,4;7,48;7,33;7,33
2004-03-01;4,55;4,59;7,79;6,32;6,35;6,34;6,1;6,13
2004-04-01;4,06;4,14;7,63;6,02;6,77;6,81;6,97;6,93
2004-05-01;3,22;3,39;7,31;5,39;6,28;6,2;6,19;6,18
2004-06-01;5,78;6,04;7,66;6,49;6,87;6,82;7,09;7,04
2004-07-01;8,48;9,04;7,96;7,57;7,96;7,95;7,92;7,86
2004-08-01;8,98;9,09;7,8;7,4;7,15;7,05;7,11;7,05
2004-09-01;10,9;10,76;8,19;8,51;7,83;7,88;8,06;7,97
2004-10-01;8,12;7,45;7,78;6,94;6,77;6,72;6,71;6,63
2004-11-01;5,53;4,99;7,47;6,37;6,34;6,38;6,65;6,6
2004-12-01;4,2;4,16;7,31;5,9;6,58;6,65;6,43;6,49
2005-01-01;5,19;4,92;7,33;6;6,97;6,96;6,89;6,89
2005-02-01;4,47;4,34;7,01;5,33;6,83;6,91;6,6;6,63
2005-03-01;5,34;5,1;7,1;5,65;6,07;6,1;5,95;5,97
2005-04-01;6,23;5,92;7,09;5,82;6,31;6,35;6,4;6,38
2005-05-01;8,21;7,81;7,37;6,67;7,65;7,82;7,86;7,81
2005-06-01;9,66;9,15;7,49;7,22;9,07;9,33;9,3;9,23
2005-07-01;6,95;6,24;7,08;5,99;7,63;7,47;7,48;7,42
2005-08-01;5,03;4,78;6,87;5,7;6,83;6,71;7,1;7,04
2005-09-01;2,38;1,62;6,47;4;5,33;4,92;5,21;5,13
2005-10-01;3,3;2,71;6,55;4,57;6,02;6,01;6,35;6,23
2005-11-01;4,86;4,35;6,56;4,75;6,98;7,07;6,87;6,81
2005-12-01;5,44;5,12;6,51;4,92;5,69;5,6;5,49;5,52
2006-01-01;4,38;4,32;6,27;4,51;5,25;5,23;5,27;5,29
2006-02-01;2,77;2,84;5,95;3,79;5,42;5,5;5,24;5,25
2006-03-01;1,52;1,74;5,66;3,3;4,92;4,97;4,78;4,8
2006-04-01;1,09;1,25;5,43;2,93;4,21;4,22;4,26;4,26
2006-05-01;2,27;2,14;5,39;3,12;4,87;4,82;5,01;4,97
2006-06-01;0,27;0,28;4,99;1,99;4,2;4,11;4,14;4,13
2006-07-01;-0,88;-0,69;4,62;1,56;3,62;3,51;3,78;3,74
2006-08-01;0,97;0,83;4,64;1,84;4,33;4,27;4,37;4,29
2006-09-01;2,8;2,54;4,68;2,3;4,91;4,97;4,97;4,88
2006-10-01;4,17;3,78;4,77;2,75;5,36;5,39;5,41;5,3
2006-11-01;3,16;3,19;4,53;2,55;4,4;4,39;4,38;4,34
2006-12-01;2,26;2,47;4,4;2,42;4,33;4,39;4,43;4,47
2007-01-01;4,16;4,02;4,66;3,16;4,74;4,74;4,53;4,55
2007-02-01;2,91;2,91;4,31;2,46;3,4;3,24;3,06;3,08
2007-03-01;4,02;3,82;4,54;3,16;3,3;3,35;3,35;3,34
2007-04-01;4,02;3,89;4,41;3,12;3,79;3,84;3,72;3,7
2007-05-01;3,2;3,27;4,29;3,03;3,88;3,81;3,96;3,93
2007-06-01;3,57;3,45;4,28;3,2;4,76;4,74;4,83;4,78
2007-07-01;5,89;5,75;4,61;4,28;5,2;5,11;5,11;5,06
2007-08-01;5,52;5,46;4,41;3,98;5,58;5,51;5,61;5,53
2007-09-01;6,79;6,57;4,76;4,86;6,55;6,63;6,65;6,55
2007-10-01;6,07;6,05;4,69;4,71;5,38;5,32;5,31;5,23
2007-11-01;4,1;4,31;4,5;4,24;4,6;4,61;4,83;4,8
